번호,작성자,댓글본문,좋아요수,작성시간,감정,유형,원본댓글(답글인경우)
20,"@dudhdjxccct","php...언제적 php...","3","9개월 전","중립","답글","@conel42: 이런 제목을 만드는건 조회수 끌어야하니까 제목에 뭔가 되는거처럼 적는건 "
21,"@conel42","@dudhdjxccct  Laragon 안쓰시나?","0","9개월 전","중립","답글","@conel42: 이런 제목을 만드는건 조회수 끌어야하니까 제목에 뭔가 되는거처럼 적는건 "
22,"@대모산개발단","저희 사내용도로 쓸 수 있는 어플은 개발이 가능해요 영상에서 보여드린 것 처럼! 물론 수익화를 위한 앱은 힘들 수 있다고 생각해요~
쉬운 기능을 담은 앱은 뚝딱 가능하다고 생각합니다!

그리도 php도 좋지만 supabase도 좋은니 공부 해보시길 추천드려요!","1","9개월 전","중립","답글","@conel42: 이런 제목을 만드는건 조회수 끌어야하니까 제목에 뭔가 되는거처럼 적는건 "
23,"@cooki3monst3r","supabase MCP 설정할 때, mcp.json 에 <project_ref> 를 적어넣어야 하는데,
이게 전역 설정이라, 다른 프로젝트 진행할 때는 어떻게 관리하고 계신가요?
다른 프로젝트 왔다갔다 하실때는 매번 project_ref 값을 수정하면서 사용하시나요?
두가지 프로젝트 같이 진행해야 할 것 같은데, 요 처리가 골치 아프네요 >_<b","2","9개월 전","부정","최상위",""
24,"@대모산개발단","mcp 설정을 프로젝트 별로 할 수 있습니다!
매번 수정할 필요 없으실 것 같아요 :)","1","9개월 전","중립","답글","@cooki3monst3r: supabase MCP 설정할 때, mcp.json 에 <project_"
25,"@cpssa6901","제가 neon db로 AWS 싱가포르 잡고 db를 매번이용했었는데, supabase가 훨씬 나은가요?","1","10개월 전","중립","최상위",""
26,"@대모산개발단","supabase도 사실 aws를 기반으로 쓰는거라 성능적인 차이는 크게 없습니다
다만 여러 편의 기능들과 UI가 쉽다고 보시면 좋을 것 같아요","0","9개월 전","긍정","답글","@cpssa6901: 제가 neon db로 AWS 싱가포르 잡고 db를 매번이용했었는데, su"
27,"@rtweakim3122","나이를 먹으니깐 참고 살고 남 눈치보고 사는 게 자기를 얼마나 갉아먹는 건지 알겠더군요. 
나중에 우울증 와요…","1","10개월 전(수정됨)","중립","최상위",""
28,"@대모산개발단","응원하겠습니다!!","1","9개월 전","긍정","답글","@rtweakim3122: 나이를 먹으니깐 참고 살고 남 눈치보고 사는 게 자기를 얼마나 갉아먹는 "
29,"@rtweakim3122","신기해요","1","10개월 전","긍정","최상위",""
30,"@kim25-k9b","다음 영상 너무 보고싶어요! 
항상 감사드립니다","1","10개월 전","긍정","최상위",""
31,"@대모산개발단","봐주셔서 감사드립니다!!","0","10개월 전","긍정","답글","@kim25-k9b: 다음 영상 너무 보고싶어요! 
항상 감사드립니다"
32,"@발씨-f4h","Gemini Cli 사용법도 알려주세용~","0","10개월 전","중립","최상위",""
33,"@대모산개발단","넵 금방 올리겠습니다~!!","0","10개월 전","긍정","답글","@발씨-f4h: Gemini Cli 사용법도 알려주세용~"
34,"@모쨔빠-겸몽","클로드 pro  구독중인데  
커서 ai  에서  사용 가능한가보네용!!!
????  !","3","10개월 전","중립","최상위",""
35,"@대모산개발단","가능하죠 단톡방에 무료자료가 있숩니다!!","0","10개월 전","중립","답글","@모쨔빠-겸몽: 클로드 pro  구독중인데  
커서 ai  에서  사용 가능한가보네용!!"
36,"@Tere8426","그대로 해도mcp 설정이 안돼요 ㅜ","1","10개월 전","부정","최상위",""
37,"@대모산개발단","카톡방 오셔서 에러 내용 보여주세요!","0","10개월 전","부정","답글","@Tere8426: 그대로 해도mcp 설정이 안돼요 ㅜ"
38,"@peterperguson","vs 전기밥솥 전원 연결하고 1시간만에 쌀을 안치는 주부","12","10개월 전","중립","최상위",""
39,"@초거대미어캣","ai가 만든거 보면 한숨나오고 속터지던데 그거 어디까지 신뢰하시고 다음단계로 넘어가나요...","5","10개월 전","중립","최상위",""
40,"@대모산개발단","저는 일단 기능 눌러보고 동작하면 넘어갑니다!
supabase에 들어가서 데이터 들어오는지도 보고요","1","10개월 전","긍정","답글","@초거대미어캣: ai가 만든거 보면 한숨나오고 속터지던데 그거 어디까지 신뢰하시고 다음단"
41,"@초거대미어캣","​ @대모산개발단 코드 확장성이나 전체 구조보다는 기능수행만 일단 보시는거죠...?","0","10개월 전","중립","답글","@초거대미어캣: ai가 만든거 보면 한숨나오고 속터지던데 그거 어디까지 신뢰하시고 다음단"
42,"@jinsukim309","​기능만 완성되면,그때는 넘어가지만 나중에 확장시, 코드가 꼬이고 버그가 발생하더라구요, ㅜㅜ","0","8개월 전","부정","답글","@초거대미어캣: ai가 만든거 보면 한숨나오고 속터지던데 그거 어디까지 신뢰하시고 다음단"
43,"@beefran5286","대모산??저 개포동 출신인데.ㅋㅋㅋ
괜스레 반갑네여","1","10개월 전","중립","최상위",""
44,"@대모산개발단","저도 개포동 삽니다요!!","0","10개월 전","중립","답글","@beefran5286: 대모산??저 개포동 출신인데.ㅋㅋㅋ
괜스레 반갑네여"
45,"@yokuna-b5m","포동포동하게 생겼나보네","0","10개월 전","중립","답글","@beefran5286: 대모산??저 개포동 출신인데.ㅋㅋㅋ
괜스레 반갑네여"
46,"@필름앤슬로우","솔직히 이 방식 그대로 더 규모있고 복잡한 서비스도 가능하다고 생각하시나요?","2","10개월 전","부정","최상위",""
47,"@대모산개발단","그건 개발자가 도움 주지 않으면 불가능하다고 생각합니다!","1","10개월 전","중립","답글","@필름앤슬로우: 솔직히 이 방식 그대로 더 규모있고 복잡한 서비스도 가능하다고 생각하시나"
48,"@제작-c5q","혹시 커서ai를 쓰는데 쿨로드코드를 굳이 써야하나요? 아예 그럴거면 클로드코드만 쓰는게 낫지않나용? 그리고 커서자체로 슈퍼베이스 mcp 연결후 read only는 어떻게 삭제하나요?? 혹시 클로드코드 api 받아서 쓰면 얼마정도 나올까용 질문이 너무 많네요 ㅠㅠ","1","10개월 전","부정","최상위",""
49,"@대모산개발단","1. 개인 취향에 따라 쓰면 됩니다. 저는 둘 다 쓰고요, 둘 중 하나만 고르자면 클로드 코드입니다
2. 클로드 코드 기준으로 .mcp.jsom에서 args -> --read-only를 빼면 됩니다!
3. 클로드 코드 api 쓰지 마시고, pro 플랜 구독 추천드립니다 (17달러)","1","10개월 전","긍정","답글","@제작-c5q: 혹시 커서ai를 쓰는데 쿨로드코드를 굳이 써야하나요? 아예 그럴거면 클로"
50,"@제작-c5q","@대모산개발단  정말 너무 감사합니다!! 좋아요 누르고 갑니당","0","10개월 전","긍정","답글","@제작-c5q: 혹시 커서ai를 쓰는데 쿨로드코드를 굳이 써야하나요? 아예 그럴거면 클로"
51,"@elee9056","보통 바이브 코딩은 보안 취약점도 체크 해주나요?","1","10개월 전(수정됨)","부정","최상위",""
52,"@대모산개발단","어느정도 해달라고 하면 해줄거에요!
그리고 웹 프레임워크나 supabase에 내장된 보안 기능들도 있습니다!","0","10개월 전","부정","답글","@elee9056: 보통 바이브 코딩은 보안 취약점도 체크 해주나요?"
53,"@elee9056","@대모산개발단 미국에서 보안 공부 중인데 보안 커뮤니티에서 이젠 프로덕트 매니저가 ai 믿고 개발자들 엄청 굴리면서 공장 찍듯이 재촉할거니 엉망진창 프로그램/어플들이 우후죽순 생기고, 덕분에 보안 쪽 일자리 생기겠다면서 농담하고 있거든요.","0","10개월 전","중립","답글","@elee9056: 보통 바이브 코딩은 보안 취약점도 체크 해주나요?"
54,"@jamcard","속 시원한 영상이네요! 딱 원하던 정보입니다.

원가계산하는 초간단 앱만들고 있는데
DB 구축에서 막혀서 허덕이다가
이 영상이 저를 살려낸 것 같습니다.

cursor+ cladue + supabase
MCP로 자동화.. 

이거 몰랐다면 제가 하나 하나
다 작성하고 있었을 것 같습니다..

12분짜리 영상인데 비전공자이고
개발 경험이 없어서
따라하면서 보느라
3시간 정도 걸렸습니다 🫠
어찌어찌 DB구축이 된 것같네요.

단순히 앱만 만드는 게 아니라
supabase나 cursor에 대해서도
너무 잘배우고 있습니다!

무료로 이런 영상 만들어주셔서 너무 감사합니다.

배포방법도 얼른 올라왔으면 좋겠습니다.","12","10개월 전","긍정","최상위",""
55,"@doshyun","안드/아이폰 배포하는 모습 보고싶습니다...
감사합니다..","2","10개월 전","긍정","최상위",""
56,"@대모산개발단","준비해보겠습니다!","0","10개월 전","중립","답글","@doshyun: 안드/아이폰 배포하는 모습 보고싶습니다...
감사합니다.."
57,"@이윤삼-f4d","커서도 Supabase MCP 연결했으면 테이블 설계나 생성 등을 할수 있을것 같은데, 클로드 코드 CLI 를 사용하는 이유가 있을까요?","1","10개월 전","중립","최상위",""
58,"@대모산개발단","그건 클로드 코드로 opus를 쓸 수 있기 때문이에요","1","10개월 전","중립","답글","@이윤삼-f4d: 커서도 Supabase MCP 연결했으면 테이블 설계나 생성 등을 할수 "
59,"@서나루-q7n","@대모산개발단  커서에서도 opus 모델 있지않나요..?","0","10개월 전","중립","답글","@이윤삼-f4d: 커서도 Supabase MCP 연결했으면 테이블 설계나 생성 등을 할수 "
60,"@QuantizedDevChandr","접근성이 더 좋아진 Gemini cli 활용하는 영상도 찍어주세요!!","1","10개월 전(수정됨)","긍정","최상위",""
61,"@대모산개발단","해보겠습니다!!!","0","10개월 전","중립","답글","@QuantizedDevChandr: 접근성이 더 좋아진 Gemini cli 활용하는 영상도 찍어주세요!!"
62,"@cheolchoi-wq6xy","화면 오른쪽에 핸드폰 화면 띄우고 실시간으로 확인하는건 어떤 프로그램인가요?","1","10개월 전","중립","최상위",""
63,"@대모산개발단","이건 앱 개발할 때 쓰는 에뮬레이터에요!
아이폰 경우에 xcode를 통해 띄울 수 있습니다!","1","10개월 전","중립","답글","@cheolchoi-wq6xy: 화면 오른쪽에 핸드폰 화면 띄우고 실시간으로 확인하는건 어떤 프로그램인가"
64,"@cheolchoi-wq6xy","​ @대모산개발단  감사합니다.","0","10개월 전","긍정","답글","@cheolchoi-wq6xy: 화면 오른쪽에 핸드폰 화면 띄우고 실시간으로 확인하는건 어떤 프로그램인가"
65,"@디컴소프트","firebase 가 나은거 같고, 백엔드와  db는 그냥 replit 이 한번에 다 되서 replit 으로 만드는게 그냥 답인듯","4","10개월 전","중립","최상위",""
66,"@대모산개발단","replit이 비개발자한테 더 편할 수 있다고 생각해요! 다만 확장 가능성에서는 supabase나 firebase가 좋다고 생각하긴 합니다!","1","10개월 전","중립","답글","@디컴소프트: firebase 가 나은거 같고, 백엔드와  db는 그냥 replit 이"
67,"@flood8727","저도 레플릿하다보니 굳이 슈파베이스를 써야하나 싶었는데 혹시 좀 더 장단점을 알려주시겟나요","1","10개월 전","중립","답글","@디컴소프트: firebase 가 나은거 같고, 백엔드와  db는 그냥 replit 이"
68,"@디컴소프트","@flood8727  replit 으로 뼈대 만들고 커서로 완성 형으로 만들고 나서 업로드 하면 호스팅 까지 되어서  비용이 휠씬 절감 되죠. supabase 가 웹호스팅은 안되잖아요.","0","10개월 전","부정","답글","@디컴소프트: firebase 가 나은거 같고, 백엔드와  db는 그냥 replit 이"
69,"@이동은-l5g","딱 필요하던 부분 입니다^^ 당장 다음주에 써먹어 보겠습니다 ㅎㅎㅎ","2","10개월 전","긍정","최상위",""
70,"@대모산개발단","넵 대표님 웹에도 적용 가능한 부분이니 써먹으셔도 좋습니다!!!","0","10개월 전","긍정","답글","@이동은-l5g: 딱 필요하던 부분 입니다^^ 당장 다음주에 써먹어 보겠습니다 ㅎㅎㅎ"
71,"@Uber-mensch","4:07 ""~ 좋을지 여쭈어보는"" ㅋ 그렇죠. 우리는 이젠 AI님을 모시고 살아야합니다
공감합니다.","3","10개월 전","긍정","최상위",""
72,"@DFEFDF-i2c","잘 보고 있습니다!","1","10개월 전","긍정","최상위",""
73,"@대모산개발단","감사합니다! 더 열심히 하겠습니다!","0","10개월 전","긍정","답글","@DFEFDF-i2c: 잘 보고 있습니다!"
74,"@Qwerasdf-h1f","앱 여러개 만들면 앱별로 프로젝트 새로 만드시나요? 무료는 2개 제한이어서 고민이에요.","2","10개월 전","부정","최상위",""
75,"@대모산개발단","계속 유지할 프로젝트는 돈 내고 씁니다 :)
계정을 여러개 쓰는것도 방법이에요","0","10개월 전","중립","답글","@Qwerasdf-h1f: 앱 여러개 만들면 앱별로 프로젝트 새로 만드시나요? 무료는 2개 제한이어"
